Observed concentration,Predicted concentration symbolic regression ALE,Predicted concentration Eleveld
6.4,4.317785,4.128637
4.7,4.4315176,4.168245
5.9,3.415723,3.0865192
4.9,3.5010843,3.149507
5.6,4.5781636,4.1928105
5.8,4.592314,4.207887
6.1,4.636852,4.206911
9.4,5.7478914,5.2116265
5.7,4.7300262,4.201535
3.4,2.570082,2.0875149
2.4,1.2863493,1.0194774
2.9,2.3666446,2.4936254
1.1,2.4874723,2.2487807
1.5,2.7090793,2.4760065
1.6,2.7736459,2.5551796
1.9,3.6828494,3.578236
2.8,3.534051,3.3348014
1.9,3.5682456,3.2871146
1.8,3.9399803,3.7131307
0.7,1.6046809,1.2644058
0.4,1.1527672,0.9478539
6.3,3.6693301,3.753548
4.7,3.930211,3.6732297
4.4,4.090272,3.7484105
1.4,1.7028269,1.3305691
0.4,0.9507937,0.7688225
0.6,0.6883354,0.6259453
1.4,2.4477026,2.4290931
0.4,0.5113235,0.4319845
4.5,5.565781,5.5794334
3.7,4.243813,4.158629
3.9,4.5839524,4.299952
2.5,3.4905856,3.0507529
2.95,3.4911895,3.0841591
3.2,3.3166547,3.0456307
2.1,2.945371,2.7271056
1.6,2.816726,2.6653032
1.8,2.2729592,2.1524997
1.000001,2.2110949,2.105009
1.000001,1.4619799,1.3481883
3.6,4.164714,3.7307153
1.8,4.1986904,3.686927
1.8,3.2318559,2.6239202
2.7,3.3167431,2.7465427
3.6,4.3983316,3.8632581
3.3,4.1869984,3.593591
3.8,4.2963524,3.6309106
5.1,5.2966304,4.4872212
6.2,6.2004223,5.269275
5.2,5.1586833,4.312314
1.2,1.5699782,1.284598
4.3,4.5479746,3.7509148
3.8,3.05884,2.3842363
3.1,3.307479,2.6378915
4.6,4.888207,4.1203117
4.3,4.3229113,3.6407712
3.6,3.0417602,2.5682209
3.2,3.0557418,2.5805254
4.9,3.6009266,3.0293276
5.0,2.4253292,2.0905378
3.4,2.540655,2.198253
3.4,2.000897,1.744357
1.4,1.0229381,0.86910915
3.6,3.9058173,3.8640954
1.8,1.9668785,1.9106355
2.5,2.879749,2.6165414
2.3,2.9705517,2.7693353
3.2,4.8092847,4.7344317
4.2,3.8388836,3.6961548
4.3,3.8322148,3.5943859
4.9,4.7364087,4.487106
6.8,5.6272955,5.33516
2.45,1.9542525,1.6143752
1.9,1.4668915,1.2666109
4.0,5.6810985,4.3662815
2.5,4.239849,3.2366366
4.4,4.2526474,3.2220428
4.8,5.6116953,4.283484
5.3,5.673193,4.331554
6.1,5.662383,4.3203917
7.0,6.9384794,5.3532634
7.5,6.9713078,5.3898697
1.7,5.517525,4.364235
7.8,4.1111608,3.8734853
3.0,2.7432115,2.4250245
3.3,6.147168,5.188938
7.8,4.322247,4.062118
6.8,4.180005,3.8349469
6.1,4.1776843,3.7429676
10.1,5.07885,4.608745
4.7,2.4072092,2.1168275
2.8,1.7409688,1.591092
1.4,0.82117486,0.6897103
1.1,0.65187114,0.5706683
8.1,4.8072133,4.7693543
7.6,3.6889274,3.5421314
6.6,3.815586,3.569982
5.3,3.932387,3.6629186
8.1,5.0463867,4.813671
7.5,5.1092463,4.8609447
7.9,5.157934,4.8529367
5.1,6.4010496,6.056088
3.1,2.9817936,2.5114474
1.7,2.1649764,1.9174942
4.1,4.2583747,3.8079464
2.5,3.953284,3.5341465
3.3,3.1616325,2.5814526
3.9,3.3764977,2.808928
4.0,3.3999126,2.8312786
4.5,5.263477,4.471449
4.9,4.3466196,3.7190237
7.2,5.4249496,4.591088
2.4,1.9381801,1.3292094
1.5,1.4678108,1.045475
3.4,4.1509423,3.9148514
4.4,4.0967193,3.8157644
1.6,4.1827726,3.8358011
1.5,2.1527169,1.7808067
1.8,2.951503,2.3851175
2.2,3.0399945,2.5961313
2.8,4.4632597,4.21153
3.1,4.019973,3.600273
2.3,2.8098814,2.4471967
0.6,1.6934965,1.457535
0.7,1.354406,1.2982755
1.5,2.098957,2.0703046
0.5,2.0158954,1.8475375
0.1,1.0280641,0.8525371
4.0,4.0214887,3.9203973
2.3,4.07565,3.9321685
2.3,2.8787947,2.6056972
2.5,3.0984282,2.8634963
3.1,3.122183,2.88302
3.6,4.9668894,4.6928544
4.2,4.1180515,3.8620672
3.2,4.0870433,3.7627974
3.4,5.0839963,4.6919374
2.6,2.455804,2.1791632
0.9,1.1318161,0.9326522
6.4,4.425099,4.492954
3.4,3.3169026,3.3160315
3.7,3.4993196,3.3767629
3.4,3.6326811,3.483249
3.8,4.7347074,4.6197824
5.2,4.6563783,4.5539804
4.6,5.269577,4.7661743
4.0,4.828486,4.6374636
5.4,6.0741577,5.819416
1.8,2.4999921,2.0173512
0.3,1.6540343,1.362918
6.1,4.5533276,4.624068
4.8,3.4545863,3.4315684
4.6,1.4561816,1.1922777
6.5,5.1891804,4.849482
5.7,4.786106,4.7419505
6.4,4.8530116,4.7435207
6.5,4.982979,4.772114
7.6,6.153517,5.928773
5.0,3.299672,3.026271
4.2,3.0663311,2.9140239
2.4,1.5560418,1.3677077
2.6,1.1770355,1.0445431
6.9,5.4161363,4.9872117
3.2,4.1326694,3.7445884
3.2,4.3211017,3.7474089
3.8,4.462889,3.839236
5.0,5.8340154,5.0768647
5.0,5.74317,5.0555634
4.8,5.8278637,5.0776243
7.7,7.340045,6.3762803
10.1,8.114341,7.0137815
3.5,3.2789092,2.6215582
2.4,1.7000042,1.3837509
1.2,1.4671814,1.2047038
4.2,3.3691373,3.3058991
1.6,1.7839993,1.8770719
2.4,2.5898137,2.3629844
2.4,2.6715853,2.4852395
3.9,4.601779,4.0971313
3.5,3.3749342,3.2799466
3.9,3.453207,3.2621646
1.8,1.4493756,1.1474062
1.7,0.92476857,0.7665366
4.3,4.271445,3.8291104
2.4,2.4211063,1.9988128
3.0,3.447555,2.8304815
2.8,3.413031,2.8347483
4.4,5.038556,4.4743795
4.1,4.541006,3.9038813
3.8,4.4537873,3.747937
2.2,2.4771125,1.984934
1.4,1.8323002,1.5037813
6.0,4.383719,4.234812
3.6,3.2709813,3.1193378
3.6,3.4318888,3.1738014
3.5,3.5454142,3.2576475
4.4,4.7110047,4.3493824
